,brand,url,label,website_active
472,diesel,https://uk.diesel.com,NOT,True
473,dilling,https://uk.dilling.com,SUS,True
474,dillysocks,https://dillysocks.com,SUS,True
475,dim,https://dim.com,NOT,False
476,dior,https://dior.com,NOT,True
477,disana,https://disana.de,SUS,True
478,djinn's,http://djinns.eu,SUS,True
479,dockers,https://dockers.com,NOT,True
480,doers of london,https://doersoflondon.com,SUS,True
481,dolce&gabbana,https://dolcegabbana.com,NOT,True
482,domyos,https://domyos.co.uk,SUS,True
483,doris&dude,https://dorisanddude.com/,SUS,True
484,dorothy perkins,https://dorothyperkins.com,NOT,True
485,dos woman,https://doswoman.com,SUS,False
486,doucal's,https://www.doucals.com,NOT,True
487,doughnut,https://doughnutofficial.co.uk,SUS,True
488,dr dennis gross,https://drdennisgross.com/,NOT,True
489,dr. martens,https://drmartens.com,NOT,True
490,dr. pawpaw,https://drpawpaw.com,NOT,False
491,dreimaster,https://dreimastershop.de,SUS,True
492,dressarte paris,https://dressarteparis.com,SUS,True
493,dressmann,https://dressmann.com,NOT,True
494,dries van noten,https://driesvannoten.be,NOT,True
495,drumohr,https://drumohr.com,NOT,True
496,drykorn,https://drykorn.com,NOT,True
497,dsquared2,https://dsquared2.com,NOT,True
498,dstrezzed,https://dstrezzed.com,SUS,True
499,duckfeet,https://duckfeet.com,SUS,True
500,duke,https://dukeclothing.com,NOT,False
501,dunderdon,https://dunderdon.com,NOT,True
502,dune london,https://dunelondon.com,NOT,True
503,dunlop sport,https://dunlopsports.com,NOT,True
504,dunque,https://dunque.de,SUS,True
505,duvetica,https://duvetica.com,NOT,True
506,dvs,https://dvsshoes.com,NOT,True
507,dw-shop,https://dw-shop.de,NOT,True
508,dweezilsfriend,https://dweezilsfriend.nl,SUS,True
509,dynafit,https://dynafit.com,NOT,True
510,dysfunctional,http://dysfunctionclothing.com/,SUS,True
511,dzaino,https://dzaino.com,SUS,True
512,e9,https://e9planet.com,SUS,True
513,earth creations,https://www.earthcreations.net,SUS,True
514,eastland,https://eastland.com.au,NOT,False
515,eastpak,https://eastpak.com,NOT,True
516,easy peasy,https://easypeasy.fr,SUS,True
517,ecco,https://gb.ecco.com/en-GB,NOT,True
518,echte,https://echte.dk,NOT,True
519,echtlieb,https://echtlieb.de,SUS,False
520,ecko,https://ecko.com,NOT,True
521,eco by sonya,https://ecobysonyadriver.eu,SUS,True
522,ecoalf,https://ecoalf.com,SUS,True
523,ecoology,https://ecoology.es,SUS,True
524,ed hardy,http://edhardyoriginals.com,NOT,True
525,edifice,http://edifice.baycrews.co.jp,NOT,True
526,edited,https://edited.nl,NOT,True
527,editions mr,https://editionsmr.fr,SUS,False
528,edun,https://edun.com,SUS,False
529,edwin,https://edwin-europe.com,NOT,True
530,effio,https://effio.nl,SUS,True
531,egyptian magic,https://egyptianmagic.com,SUS,False
532,eider,https://eider.com,NOT,False
533,eileen fisher,https://eileenfisher.com,NOT,False
534,ein garten,https://eingarten.com,SUS,False
535,ekn,https://eknfootwear.com,SUS,True
536,ekyog,https://ekyog.com,SUS,True
537,el ganso,https://elganso.com,NOT,True
538,el naturalista,https://elnaturalista.com,SUS,True
539,element,https://elementbrand.com,NOT,True
540,elemental herbology,https://elementalherbology.com,SUS,True
541,elements of freedom,https://elementsoffreedom.nl,SUS,True
542,elementy,https://elementywear.com,SUS,True
543,eljada,https://eljadafashion.nl,SUS,False
544,elkline,https://elkline.de,SUS,True
545,ellesse,https://ellesse.com,NOT,False
546,elli,https://ellifashion.co.uk,SUS,True
547,elsien gringhuis,https://elsiengringhuis.com,SUS,True
548,elvine,https://elvine.se,SUS,True
549,emanuel berg,https://emanuelberg.com,NOT,True
550,embassy of bricks and logs,https://www.embassyofbricksandlogs.de,SUS,True
551,emerica,https://emerica.com,NOT,True
552,emu,https://emusportswear.com.au,SUS,True
553,emu australia,https://emuaustralia.com.au,NOT,True
554,endura,https://endurasport.com,NOT,True
555,enfant terrible,https://l-enfantterrible.com,SUS,True
556,engelbert strauss,https://engelbert-strauss.de,NOT,True
557,enna,https://enna.com.br,SUS,True
558,enter,http://fashion-enter.com,SUS,True
559,envii,https://envii.com,NOT,True
560,episode,https://episode.eu,SUS,True
561,eq,https://eq-wear.com,SUS,True
562,erase,https://erasedproject.com,SUS,True
563,eric bompard,https://eric-bompard.com,NOT,False
564,erima,https://erima.eu,NOT,True
565,ernsting's family,https://ernstings-family.de,NOT,True
566,escape the system,https://escapethesystem.nl,SUS,True
567,espadrij l´originale,https://espadrij.com/en,SUS,True
568,esprit,https://esprit.com,NOT,True
569,esquire,https://esquirenyc.com,NOT,True
570,estefan,https://carolinaestefan.com,SUS,True
571,estella bartlett,https://estellabartlett.com,NOT,True
572,eterna,https://eterna.de,SUS,True
573,ethletic,https://ethletic.com,SUS,True
574,etiko,https://etiko.com.au,SUS,True
575,etnies,https://etnies.com,NOT,True
576,eton,https://etonshirts.com,NOT,True
577,etq,https://etq-amsterdam.com,NOT,True
578,evita,http://evita.ie,SUS,False
579,ewing,https://ewingathletics.com,SUS,True
580,express,https://express.com,NOT,True
581,expresso,https://expresso.nl,NOT,True
582,ezekiel,https://ezekielusa.com,SUS,True
583,f.a.m.,https://famapparel.com,SUS,True
584,fabienne chapot,https://fabiennechapot.com,NOT,True
585,fabrap,https://fabrap.co,SUS,True
586,fabrari,https://fabrari.com,SUS,True
587,fabric horse,https://fabrichorse.com/,SUS,True
588,fair,https://fairwear.org,SUS,True
589,fair indigo,https://fairindigo.com,SUS,True
590,fairrebel,https://fairrebel.com,SUS,True
591,fairticken,https://fairticken-shop.de,SUS,True
592,falcon,http://falconsportswear.com,NOT,True
593,falke,https://falke.com,NOT,True
594,fallen,https://fallenfootwear.us,SUS,True
